college_name,campus,program_name,degree,duration_terms,course_list,college_id,source
الأكاديمية العربية للعلوم و التكنولوجيا و النقل البحري,"Dokki, El Alamein, Heliopolis, Latakia, Miami, Port Said, Smart Village, South Valley","الأكاديمية العربية للعلوم و التكنولوجيا و النقل البحري- | AASTMT تفاصيل البرنامج أدوات الوصول 19838 AR En Ar Fr معلومات عن المتقدمون الجدد الطلاب الخريجين أعضاء هيئة التدريس الزائرين تسجيل الدخول الطلاب العاملين الصفحه الرئيسيه البرامج والدورات ابحث في برامجنا & المقرر التعليمي إستكشف مجال الدراسة لا يوجد الطب و الصحة العامة العلوم و الهندسة الدراسات البحرية الدراسات الإنسانية والاجتماعية الدراسات الادارية و التجارية الدراسات التمهيدية Location AbuKir Dokki El Alamein Heliopolis Janaklees Latakia Miami Port Said Smart Village South Valley نتائج البحث عن """" إسم البرنامج الدرجة العلمية الكلية الموقع بكالوريوس AbuKir قسم الدراسات البحرية الاساسية بكالوريوس AbuKir العلوم الأساسية (مواد بكالريوس) بكالوريوس Heliopolis بكالريوس هندسة الحاسب بكالوريوس Heliopolis بكالريوس ميكاترونكس بكالوريوس Heliopolis بكالريوس تشييد وبناء بكالوريوس Heliopolis بكالريوس الكترونيات واتصالات بكالوريوس Heliopolis بكالريوس هندسة الكهرباء والتحكم بكالوريوس Heliopolis بكالوريوس Heliopolis برنامج جامعة لندن -  بكالوريوس إددرة الأعمال بكالوريوس Heliopolis برنامج جامعى لندن - بكالوريوس الإقتصاد والإدارة بكالوريوس Heliopolis برنامج جامعة لندن بكالوريوس التمويل بكالوريوس Heliopolis تسويق و إدارة اعمال بكالوريوس Miami المحاسبة والمالية بكالوريوس Miami بكالوريوس تسويق بكالوريوس Miami إدارة الفنادق بكالوريوس Miami إدارة السياحة بكالوريوس Miami نظم معلومات الأعمال بكالوريوس Miami علوم سياسية بكالوريوس Miami مالية بكالوريوس Miami تخصص محاسبة بكالوريوس Miami إدارة الإعلام (مسار ثلاث سنوات) بكالوريوس Miami إدارة أعمال تخصص نظم معلومات الأعمال بكالوريوس Miami بكالوريوس Dokki بكالوريوس علوم الحاسب بكالوريوس Smart Village برنامج هندسة البرمجيات بكالوريوس Smart Village برنامج جديد بكالوريوس Smart Village . بكالوريوس Smart Village درجة البكالوريوس في إدارة الأعمال - نظم معلومات الأعمال بكالوريوس Smart Village . بكالوريوس Smart Village بكالوريوس الأمن السيبراني بكالوريوس Smart Village بكالوريوس الذكاء الاصطناعي بكالوريوس Smart Village إدارة سلاسل التوريد واللوجستيات بكالوريوس Smart Village . بكالوريوس Smart Village . بكالوريوس Smart Village . بكالوريوس Smart Village الهندسة المعماريه والتصميم البيئي بكالوريوس South Valley فيزياء 1 بكالوريوس South Valley Energy and power Engineering بكالوريوس South Valley بكاليريوس في التمويل بكالوريوس South Valley بكاليريوس في نظم معلومات الأعمال بكالوريوس South Valley محاسبة بكالوريوس South Valley التمويل بكالوريوس South Valley التسويق بكالوريوس South Valley هندسة الحاسب بكالوريوس Latakia الهندسة المعمارية بكالوريوس Latakia هندسة بحرية بكالوريوس Latakia فارم دي بكالوريوس El Alamein فارم دي كلينكال بكالوريوس El Alamein قسم تكنولوجيا الهندسة البحرية العلمين بكالوريوس El Alamein للوجستيات النقل الدولي بكالوريوس El Alamein تسويق وأعمال دوليه بكالوريوس El Alamein Logistics & Supply Chain Management بكالوريوس El Alamein TLM Major Courses بكالوريوس El Alamein برنامج الشهادة المزدوجة مع جامعة هال بكالوريوس El Alamein الهندسة المعمارية والتصميم البيئي بكالوريوس ??? ??????? ????????? ???????? ?????? Port Said تكنولوجيا النقل بكالوريوس Maritime transport technology department AbuKir العمليات البحرية بكالوريوس Maritime transport technology department AbuKir الأمان بكالوريوس Maritime transport technology department AbuKir عمليات الموانئ بكالوريوس Maritime transport technology department AbuKir إدارة  لوجستيات الطاقة والبترول بكالوريوس إدارة لوجستيات الطاقة والبترول AbuKir ادارة اللوجيستيات وسلاسل الامداد بكالوريوس ادارة اللوجستيات و سلاسل الامداد AbuKir اقتصاديات الأعمال الرقمية والمستدامة بكالوريوس اقتصاديات الأعمال الرقمية والمستدامة Heliopolis الامن السيبراني بكالوريوس الأمن الإلكتروني AbuKir اعلام بكالوريوس الإعلام Miami بكالوريوس الحاسبات و تكنولوجيا المعلومات Heliopolis برنامج علوم الحاسب بكالوريوس الحاسبات و تكنولوجيا المعلومات Heliopolis برنامج هندسة البرمجيات بكالوريوس الحاسبات و تكنولوجيا المعلومات Heliopolis برنامج نظم المعلومات بكالوريوس الحاسبات و تكنولوجيا المعلومات Heliopolis الأمن السيبراني بكالوريوس الحاسبات و تكنولوجيا المعلومات Heliopolis الذكاء الاصطناعي بكالوريوس الذكاء الاصطناعي AbuKir الهندسة المعمارية والتصميم البيئي بكالوريوس العلوم الأساسية والتطبيقية في الهندسة Port Said قسم الانسانيات بكالوريوس العلوم الإنسانية Miami قسم اللغة والترجمة بكالوريوس اللغة والترجمة Miami ملاحة بحرية بكالوريوس الهندسة البحرية Latakia بكالوريوس الهندسة البحرية بكالوريوس الهندسة البحرية والمنصات AbuKir بكالوريوس الهندسة البحرية والمنصات(160 ساعة معتمده) بكالوريوس الهندسة البحرية والمنصات AbuKir برنامج الوسائط المتعددة - 144 ساعه بكالوريوس الوسائط المتعددة AbuKir برنامج الوسائط المتعددة - 132 ساعه بكالوريوس الوسائط المتعددة AbuKir رسومات الحاسوب والوسائط المتعددة بكالوريوس الوسائط المتعددة والرسومات بالحاسب Heliopolis بكالوريوس إدارة لوجيسيتات التجارة والنقل الدولي بكالوريوس تصنيف الجامعات AbuKir بكالوريوس إدارة لوجيسيتات التجارة والنقل الدولي - تخصص إدارة عمليات النقل بكالوريوس تصنيف الجامعات AbuKir بكالوريوس إدارة لوجيسيتات التجارة والنقل الدولي - تخصص التجارة الدولية بكالوريوس تصنيف الجامعات AbuKir بكالوريوس إدارة لوجيسيتات التجارة والنقل الدولي - تخصص لوجيستيات إدارة الطاقة بكالوريوس تصنيف الجامعات AbuKir برنامج علوم الحاسب - الاسكندريه بكالوريوس علوم الحاسب AbuKir بشبلش بكالوريوس علوم الحاسب AbuKir علوم حاسب بكالوريوس علوم الحاسب Heliopolis علوم الحاسب 132 ساعه بكالوريوس علوم الحاسب Port Said اعلام بكالوريوس قسم الاعلام Heliopolis قسم الانسانيات* بكالوريوس قسم الانسانيات Smart Village بكالوريوس قسم البترول و الغاز AbuKir بكالوريوس هندسة التشييد والبناء بكالوريوس قسم التشيد و البناء AbuKir برنامج هندسة التشييد والبناء بكالوريوس قسم التشيد و البناء AbuKir برنامج هندسة التشييد والبناء بكالوريوس قسم التشيد و البناء AbuKir قسم الدراسات  البحرية الأساسية بكالوريوس قسم العلوم الاساسية El Alamein رياضيات بكالوريوس قسم العلوم الاساسية و التطبيقية AbuKir فيزياء بكالوريوس قسم العلوم الاساسية و التطبيقية AbuKir رياضيات ملاحه بحرية بكالوريوس قسم العلوم الاساسية و التطبيقية AbuKir ميكانيكا بكالوريوس قسم العلوم الاساسية و التطبيقية AbuKir كيمياء بكالوريوس قسم العلوم الاساسية و التطبيقية AbuKir فيزياء ملاحه بحرية بكالوريوس قسم العلوم الاساسية و التطبيقية AbuKir بكالوريوس قسم العلوم الاساسية و التطبيقية AbuKir - بكالوريوس قسم العمارة و التصميم البيئى AbuKir - بكالوريوس قسم العمارة و التصميم البيئى AbuKir - بكالوريوس قسم العمارة و التصميم البيئى AbuKir البكالوريوس قسم الهندسة الكهربية والتحكم بكالوريوس قسم الكهرباء و التحكم الالى AbuKir قسم الهندسة الكهربية  والتحكم بكالوريوس قسم الكهرباء و التحكم الالى AbuKir هندسة الطاقة الكهربية بكالوريوس قسم الكهرباء والتحكم الألى Smart Village الهندسة الكيميائية والبتروكيميائية بكالوريوس قسم الكيمياء AbuKir بكالوريوس في الهندسة الكيميائية والبتروكيماوية بكالوريوس قسم الكيمياء AbuKir البكالوريوس بكالوريوس قسم الميكانيكا AbuKir Bachelor Degree in Mechanical Engineering (Refrigeration & Air Conditioning Engineering) بكالوريوس قسم الميكانيكا AbuKir Bachelor Degree in Mechanical Engineering (Energy and Power Engineering) بكالوريوس قسم الميكانيكا AbuKir بكالوريوس بكالوريوس قسم الميكانيكا AbuKir درجة البكالوريوس في الهندسة الميكانيكية (هندسة الطاقة والقوة) (160 ساعة معتمدة) بكالوريوس قسم الميكانيكا AbuKir درجة البكالوريوس في الهندسة الميكانيكية (هندسة الميكاترونيات) (160 ساعة معتمدة) بكالوريوس قسم الميكانيكا AbuKir درجة البكالوريوس في الهندسة الميكانيكية (هندسة السيارات) (160 ساعة معتمدة) بكالوريوس قسم الميكانيكا AbuKir تكنولوجيا الهندسة البحرية بكالوريوس قسم الهندسة البحرية AbuKir التكنولوجيا الكهربائية البحرية بكالوريوس قسم الهندسة البحرية AbuKir B.Sc. in Industrial and Management Engineering بكالوريوس قسم الهندسة الصناعية AbuKir بكالريوس هندسة صناعية وإدارية بكالوريوس قسم الهندسة الصناعية AbuKir درجة البكالوريوس في إدارة الأعمال - تخصص تسويق بكالوريوس قسم تسويق Smart Village تسويق هال بكالوريوس قسم تسويق Smart Village علوم حاسب بكالوريوس قسم علوم الحاسب قرية ذكية Smart Village هندسة البرمجيات بكالوريوس قسم علوم الحاسب قرية ذكية Smart Village الذكاء الأصطناعى بكالوريوس قسم علوم الحاسب قرية ذكية Smart Village الأمن السيبراني بكالوريوس قسم علوم الحاسب قرية ذكية Smart Village بكالريوس في ادارة لوجستيات التجارة الدولية بكالوريوس قسم لوجيستيات التجارة الدولية AbuKir Bachelor in Electronics and Communications Engineering بكالوريوس قسم هندسة الاتصالات و الالكترونيات AbuKir Bachelor Degree in Computer Engineering بكالوريوس قسم هندسة الحاسب الالى AbuKir - بكالوريوس قسم هندسة الحاسب الالى AbuKir بكالوريوس هندسة الحاسب آلى بكالوريوس قسم هندسة الحاسب الالى El Alamein التسويق بكالوريوس كلية الإدارة و التكنولوجيا - فرع هليوبولس Heliopolis التسويق والاعمال الدولية بكالوريوس كلية الإدارة و التكنولوجيا - فرع هليوبولس Heliopolis تخصص نظم معلومات الإدارية بكالوريوس كلية الإدارة و التكنولوجيا - فرع هليوبولس Heliopolis تخصص التجارة الالكترونية بكالوريوس كلية الإدارة و التكنولوجيا - فرع هليوبولس Heliopolis الإدارة المالية والمحاسبة بكالوريوس كلية الإدارة و التكنولوجيا - فرع هليوبولس Heliopolis تخصص المحاسبة بكالوريوس كلية الإدارة و التكنولوجيا - فرع هليوبولس Heliopolis نظم معلومات الأعمال بكالوريوس كلية الإدارة و التكنولوجيا - فرع هليوبولس Heliopolis تخصص تمويل بكالوريوس كلية الإدارة و التكنولوجيا - فرع هليوبولس Heliopolis جامعة هال بكالوريوس كلية الإدارة و التكنولوجيا - فرع هليوبولس Heliopolis اقتصاديات الأعمال الرقمية والمستدامة بكالوريوس كلية الإدارة و التكنولوجيا - فرع هليوبولس Heliopolis تخصص نظم معلومات الأعمال برنامج جامعة نورثهامبتون بكالوريوس كلية الإدارة و التكنولوجيا - فرع هليوبولس Heliopolis terial Culture Conservation بكالوريوس كلية الاثار South Valley yptian Archaeology بكالوريوس كلية الاثار South Valley قسم هندسة البرمجيات بكالوريوس كلية الحاسبات و تكنولوجيا المعلومات AbuKir قسم نظم المعلومات بكالوريوس كلية الحاسبات و تكنولوجيا المعلومات AbuKir قسم علوم الحاسب بكالوريوس كلية الحاسبات و تكنولوجيا المعلومات AbuKir قسم الوسائط المتعددة و رسومات الحاسب بكالوريوس كلية الحاسبات و تكنولوجيا المعلومات AbuKir علوم الحاسب (خطة جديدة) بكالوريوس كلية الحاسبات و تكنولوجيا المعلومات AbuKir درجة مزدوجة بكالوريوس كلية الحاسبات و تكنولوجيا المعلومات AbuKir الأمن الإلكتروني بكالوريوس كلية الحاسبات و تكنولوجيا المعلومات AbuKir علوم الحاسب 132 ساعه بكالوريوس كلية الحاسبات وتكنولوجيا المعلومات Port Said الأنظمة الذكية بكالوريوس كلية الذكاء الاصطناعى El Alamein علم البيانات بكالوريوس كلية الذكاء الاصطناعى El Alamein بكالوريوس الصيدلة (فارم دى- صيدلة اكلينيكية) بكالوريوس كلية الصيدلة AbuKir بكالوريوس الصيدلة (فارم دى) بكالوريوس كلية الصيدلة AbuKir بكالريوس الطب والجراحة بكالوريوس كلية الطب البشرى El Alamein ليسانس الحقوق بالتعاون مع جامعة أتونوما بأسبانيا بكالوريوس كلية القانون Smart Village ليسانس الحقوق بكالوريوس كلية القانون Smart Village قسم الإنسانيات* بكالوريوس كلية اللغة و الاعلام Smart Village قسم الإعلام بكالوريوس كلية اللغة و الاعلام Smart Village اللغات بكالوريوس كلية اللغة و الاعلام Smart Village قسم اللغة والترجمة بكالوريوس كلية اللغة و الاعلام Smart Village ادارة لوجستيات التجارة و النقل الدولي بكالوريوس كلية النقل الدولى و اللوجستيات Latakia ادارة سلاسل الامداد بكالوريوس كلية النقل الدولي و اللوجستيات Heliopolis إدارة عمليات النقل بكالوريوس كلية النقل الدولي و اللوجستيات Heliopolis لوجستيات التجاره الدوليه بكالوريوس كلية النقل الدولي و اللوجستيات Heliopolis إدارة لوجستيات الطاقة والبترول بكالوريوس كلية النقل الدولي و اللوجستيات Heliopolis قسم إدارة لوجستيات النقل بكالوريوس كلية النقل الدولي و اللوجستيات Port Said قسم إدارة اللوجستيات و سلاسل الامداد بكالوريوس كلية النقل الدولي و اللوجستيات Port Said تكنولوجيا المصايد بكالوريوس كلية تكنولوجيا المصايد والاستزراع المائي AbuKir الالستزراع المائي بكالوريوس كلية تكنولوجيا المصايد والاستزراع المائي AbuKir علوم الحاسب بكالوريوس كلية حاسبات وتكنولوجيا المعلومات South Valley بكالوريوس جراحة الفم والأسنان بكالوريوس كلية طب الاسنان El Alamein قسم الإعلام بكالوريوس معهد دراسات اللغات - فرع القاهرة Heliopolis قسم اللغة والترجمة بكالوريوس معهد دراسات اللغات - فرع القاهرة Heliopolis قسم الإنسانيات بكالوريوس معهد دراسات اللغات - فرع القاهرة Heliopolis برنامج نظم المعلومات - 144 بكالوريوس نظم المعلومات AbuKir نظم معلومات 132 ساعه بكالوريوس نظم المعلومات AbuKir نظم المعلومات (2024) بكالوريوس نظم المعلومات Heliopolis برنامج هندسه البرمجيات 144 بكالوريوس هندسة البرمجيات AbuKir هندسه الحاسب 132 ساعه بكالوريوس هندسة البرمجيات AbuKir هندسه البرمجيات ( الخطه الحديثه ) بكالوريوس هندسة البرمجيات Heliopolis هندسة التشييد والبناء بكالوريوس هندسة التشييد والبناء Port Said Bachelor Degree in Mechanical Engineering (Mechatronics Engineering) بكالوريوس هندسة ميكانيكا El Alamein Bachelor degree in Mechanical Engineering (Automotive Engineering) بكالوريوس هندسة ميكانيكا El Alamein Bachelor Degree in Mechanical Engineering (Refrigeration & Air Conditioning Engineering) بكالوريوس هندسة ميكانيكا El Alamein Bachelor Degree in Mechanical Engineering (Energy and Power Engineering) بكالوريوس هندسة ميكانيكا El Alamein تحميل المزيد استكشف الأكاديمية نبذة عن الأكاديمية البحرية القبول التدريب الحرم الجامعي الاستشارات شؤون الطلبة الخدمات الأكاديميين الكليات الاعتماد الاكاديمي العمداء المعاهد المراكز المجمعات التعليم تصديق",Bachelor,,144 ساعه بكالوريوس الوسائط المتعددة AbuKir برنامج الوسائط المتعددة; تخصص إدارة عمليات النقل بكالوريوس تصنيف الجامعات AbuKir بكالوريوس إدارة لوجيسيتات التجارة والنقل الدولي; تخصص التجارة الدولية بكالوريوس تصنيف الجامعات AbuKir بكالوريوس إدارة لوجيسيتات التجارة والنقل الدولي; تخصص لوجيستيات إدارة الطاقة بكالوريوس تصنيف الجامعات AbuKir برنامج علوم الحاسب; بكالوريوس قسم العمارة و التصميم البيئى AbuKir; بكالوريوس قسم العمارة و التصميم البيئى AbuKir,الاكاديم,aast_v2_output/html\plain_aast.edu_ar_programs-courses_results-undergrad.php.html
الأكاديمية العربية للعلوم و التكنولوجيا و النقل البحري,"Dokki, El Alamein, Heliopolis, Latakia, Miami, Port Said, Smart Village, South Valley","الأكاديمية العربية للعلوم و التكنولوجيا و النقل البحري- | AASTMT تفاصيل البرنامج أدوات الوصول 19838 AR En Ar Fr معلومات عن المتقدمون الجدد الطلاب الخريجين أعضاء هيئة التدريس الزائرين تسجيل الدخول الطلاب العاملين الصفحه الرئيسيه البرامج والدورات ابحث في برامجنا & المقرر التعليمي إستكشف Unit Name كلية الحاسبات و تكنولوجيا المعلومات كلية الدراسات العليا في الإدارة قسم البترول و الغاز قسم الكيمياء قسم الكهرباء و التحكم الالى قسم العمارة و التصميم البيئى الهندسة البحرية والمنصات قسم الهندسة البحرية الدراسات العليا البحرية قسم الميكانيكا قسم العلوم الاساسية و التطبيقية قسم التشيد و البناء قسم هندسة الحاسب الالى قسم هندسة الاتصالات و الالكترونيات قسم الهندسة الصناعية قسم الدراسات العليا الهندسية مركز تطوير الأعمال تصنيف الجامعات معهد النقل الدولي و اللوجستيات معهد التدريب بالبحر الحاسبات و تكنولوجيا المعلومات كلية النقل الدولي و اللوجستيات معهد دراسات اللغات - فرع القاهرة كلية الإدارة و التكنولوجيا - فرع هليوبولس معهد الدراسات التأهيلية البحرية Maritime transport technology department معهد النقل الدولى و اللوجستيات القاهرة pqi قسم تسويق كلية حاسبات وتكنولوجيا المعلومات كلية تكنولوجيا المصايد والاستزراع المائي قسم الكهرباء والتحكم الألى كلية اللغة و الاعلام كلية الصيدلة المعهد العربي لإعداد القيادات كلية القانون ??? ??????? ????????? ???????? ?????? هندسة التشييد والبناء قسم العلوم الاساسية كلية طب الاسنان هندسة ميكانيكا كلية الاثار كلية الادارة و التكنولوجيا كلية النقل الدولى و اللوجستيات الهندسة البحرية كلية الذكاء الاصطناعى ادارة اللوجستيات و سلاسل الامداد إدارة لوجستيات الطاقة والبترول قسم لوجيستيات التجارة الدولية الوسائط المتعددة كلية الطب البشرى علوم الحاسب نظم المعلومات هندسة البرمجيات العلوم الأساسية والتطبيقية في الهندسة إدارة لوجستيات النقل الوسائط المتعددة والرسومات بالحاسب الدراسات العليا الهندسية العلوم الإنسانية اللغة والترجمة الإعلام قسم الاعلام قسم الدراسات العليا قسم علوم الحاسب قرية ذكية قسم الانسانيات الدراسات العليا اقتصاديات الأعمال الرقمية والمستدامة مركز الدراسات الدولية بالأكاديمية العربية كلية الحاسبات وتكنولوجيا المعلومات الأمن الإلكتروني الذكاء الاصطناعي Degree Type بكالوريوس دبلومة ماجستير دكتوراه سنه تمهيدية Area of Study الطب و الصحة العامة العلوم و الهندسة الدراسات البحرية الدراسات الإنسانية والاجتماعية الدراسات الادارية و التجارية الدراسات التمهيدية Location AbuKir Dokki El Alamein Heliopolis Janaklees Latakia Miami Port Said Smart Village South Valley نتائج البحث عن """" No Records Were Found! تحميل المزيد استكشف الأكاديمية نبذة عن الأكاديمية البحرية القبول التدريب الحرم الجامعي الاستشارات شؤون الطلبة الخدمات الأكاديميين الكليات الاعتماد الاكاديمي العمداء المعاهد المراكز المجمعات التعليم تصديق",,,AASTMT السياسات & شروط; الإستخدام حقوق النشر خريطة الموقع,الاكاديم,aast_v2_output/html\plain_aast.edu_ar_programs-courses_results.php_area_study_id=0&search=.html
AASTMT,"Alamein, Alexandria, Cairo, Heliopolis, Latakia, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,,100,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center; life experiences.; participating while focusing an your career and becoming,AASTMT,aast_v2_output/html\plain_aast.edu_en_aastlife_.html
Deanery of Admission and Registration,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,Bachelor's,,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center; Verification Get In Touch Contact Us Ma,DEANERY_,aast_v2_output/html\plain_aast.edu_en_admission_.html
AASTMT Alumni,"Alamein, Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,MBA,,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center; official entity within the university to provide a focused and real service to the; graduates. The association was established with an objective to create a solid; community and strengthen the bond between AASTMT and its alumni through; creating a lifetime relationship. We aim to ensure that our graduates stay in contact; complete the relevant form below and update your information to join the alumni,AASTMT_A,aast_v2_output/html\plain_aast.edu_en_alumni_.html
El Alamein Campus,"Alamein, Alexandria, Cairo, El Alamein, El alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein, el alamein",among universities and educational institutions in the Arab,,,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center; AASTMT Policies & Terms of Use Copyright Sitemap Policies for Social Media Accounts,EL_ALAME,aast_v2_output/html\plain_aast.edu_en_campuses_Elalamein_.html
Port Said Campus,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,,,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center; AASTMT Policies & Terms of Use Copyright Sitemap Policies for Social Media Accounts,PORT_SAI,aast_v2_output/html\plain_aast.edu_en_campuses_portsaid_.html
Smart Village Campus,Smart Village,Smart Village Campus,,,,SMART_VI,aast_v2_output/html\plain_aast.edu_en_campuses_smartvillage_.html
South Valley Campus,"Aswan, South Valley","South Valley Campus| AASTMT Student Portal Faculty and Staff Portal Alumni Visitors Search Search About Campus Contact Us Admission Colleges Engineering & Technology Computing & Information Technology Management & Technology International Transport & Logistics Archaeology & Cultural Heritage Services & Facilities Faculty and Staff Student Activities Community Service News & Events Welcome to South Valley Campus Arab Academy for Science, Technology & Maritime Transport Join Us Now Build your life from today South Valley Campus - AASTMT Join Us Now Education is the key to success South Valley Campus - AASTMT About South Valley Campus Arab Academy for Science, Technology & Maritime Transport The Arab Academy for Science, Technology, and Maritime Transport (AASTMT) is a member organization of the League of Arab States. It has the mandate to provide educational, vocational, and consultancy services to the communities of member nations of the League. In 2005, the Governorate of Aswan invited AASTMT to initiate a campus in the city. The purpose of the campus is to catalyze the development of the South Valley region, which comprises Aswan, Luxor, Qena, Sohag, Asyut, Minya, the Red Sea, and the New Valley. Accordingly, the city designated to AASTMT the dormitories of the Hotel School as a temporary campus in addition to a neighboring 3,250 sqm land for the construction of the permanent campus. Instructions started for the first time on the South Valley campus in October 2006. Learn more Our Colleges Engineering and Technology Management and Technology International Transport and Logistics Computing and Information Technology Archaeology and Cultural Heritage Student Activities Social and Cultural Activities To help students develop their general knowledge, interpersonal skills, and competitiveness Sport Activities A variety of sports facilities, student-athletes have access to all of Aswan Sporting Club sports facilities Student Housing The dormitories are all furnished and equipped with all the basic needs, including medical support. more Information Campus News South Valley Campus latest News and Events 15 JUL 2021 Graduation Projects Jury for Architecture Students Graduation projects jury activities for the class of July 2021, Department of Architectural Engineering and Environmental Design, College of Engineering and Technology ... 30 JUN 2021 Summer Working Hours Summer working hours (8:00 am - 2:00 pm) will be effective starting July 4th, 2021.  ... 30 JUN 2021 June 30 Revolution Day The President of AASTMT has declared Thursday, July 1st, 2021, as a day off in celebration of the June 30 Revolution Day. ... Services and Facilities In addition to the state-of-the-art classrooms and laboratories, the South Valley campus comprises the following facilities: Two multi-purpose halls Auditorium Clinic Natural-grass outdoor sports court equipped with night lights Library Cafeterias Gymnasium Dormitories for students and faculty members Moreover, and according to an agreement with Aswan Sporting Club, student-athletes have access to the Club sports facilities. Campus Photo Gallery view Photo Gallery Quick Links About AASTMT Testimonials Success Stories Certificates Verification Campus Contacts South Valley- Aswan Aswan - Sadat Road P.O.Box 11 Aswan Tel: (+2097) 233 2845 - (+2097) 233 2843 (+2097) 2332842 Mob: (+20) 1011999631 - (+20) 1069008019 2025  © All Rights Reserved IDC - Arab Academy for Science, Technology & Maritime Transport",,,,SOUTH_VA,aast_v2_output/html\plain_aast.edu_en_campuses_southValley_.html
Agreements & International Cooperation Center,Alexandria,Agreements & International Cooperation Center,,,"Hellenic Chamber of Commerce and Development and the co; Din winning the State Incentive Award for the “Documentary Filming” Read more 01 JUN Activities of ""AASTMT; Naif Arab University for Security Sciences; European Agency for Border and Coast Guard; United Nations Office for Counter; AASTMT News People Events Web",AGREEMEN,aast_v2_output/html\plain_aast.edu_en_centers_aicc_.html
Computer Services Center,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,,,requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center,COMPUTER,aast_v2_output/html\plain_aast.edu_en_centers_csc_.html
